,name,price,adress,unit_details,description,score,URL
10,"['', '1 Bed 1 Bath - Apartment']","['$1,800 / Month']",['Location is approximate'],"['Kelowna, BC', '750 square meters', 'Dog and cat friendly', 'Listed over a week ago · Available 2023/05/01', 'Bike Parking', 'Elevator', 'Apartment', '1 bed · 1 bath', '750 square meters', 'AC available', 'Electric heating', 'In-unit laundry', 'Parking available', 'Unfurnished', '1 Year Lease', 'Balcony', 'Dishwasher', 'Ceiling Fan', 'Microwave', 'Patio', 'Refrigerator', 'Walk-in Closet', 'Kelowna, BC', 'Joined Facebook in 2007']",['READ AD BEFORE REACTING 🤘🏼\nLooking to rent my one bedroom apartment for May 1st 2023\n1 year lease  \nLocated on Hollywood rd north \nInsuite laundry \nFully furnished \nLarge deep tub\nLarge patio 6 by 16\nA/C unit\nOutdoor designated parking spot\nWould consider pet(s)\nPotentially can include internet \n\nHollywood road north Kelowna bc \nEverything walking distance:\nIga\nLiquor store\nPet store \nVet \nPharmacy See less'],[],['https://www.facebook.com/marketplace/item/728077898931325/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-4748482374988137182%22%2C%22mf_story_key%22%3A%228886553091385711%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A8886553091385711%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A10%2C%5C%22ranking_signature%5C%22%3A832478203720237056%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0039318093247685%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%228886553091385711%5C%22%3A204%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D']
11,"['', '1 Bed 1 Bath House']","['$1,600 / Month']","['Kelowna, BC, V1W 1B4']","['771 Torrs Rd, Kelowna, BC', '600 square meters', 'Listed over a week ago · Available now', 'House', '1 bed · 1 bath', '600 square meters', 'AC available', 'Central heating', 'In-unit laundry', 'Street parking', 'Unfurnished', 'Microwave', 'Oven', 'Refrigerator', 'Dishwasher', 'Joined Facebook in 2021']","[""Brand new basement suite for rent. Located in Lower Mission in a new development. Highly sought out after neighbourhood. The suite is $1,600 + utilities. It is a 10 minute walk to the beach and is close to Okanagan College. Ideal for mature students and young couples or families. No pets. Please contact me if you're interested. See less""]",[],['https://www.facebook.com/marketplace/item/528538565917620/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-4748482374988137182%22%2C%22mf_story_key%22%3A%225784339544979727%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A5784339544979727%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A11%2C%5C%22ranking_signature%5C%22%3A832478203720237056%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0039318088247685%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%225784339544979727%5C%22%3A204%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D']
12,"['', '2 Beds 1 Bath - Apartment']","['$1,800 / Month']","['Kelowna, BC, V1W 3R1']","['3091 Gordon Dr, Kelowna, BC', 'Listed 2 days ago · Available 2023/02/15', 'Apartment', '2 beds · 1 bath', 'Garage parking', 'Unfurnished', '1 month Lease', 'Joined Facebook in 2009']",['2 bedrooms 1 bathroom basement Suite with 2 car parking. Walking distance to Okanagan college. Rent $1800 plus 50% utilities.  See less'],[],['https://www.facebook.com/marketplace/item/2114897588707985/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-4748482374988137182%22%2C%22mf_story_key%22%3A%225835763933168117%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A5835763933168117%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A12%2C%5C%22ranking_signature%5C%22%3A832478203720237056%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0039318083247685%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%225835763933168117%5C%22%3A204%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D']
13,"['', 'Studio 1 Bath Apartment']","['$1,300 / Month']",['Location is approximate'],"['Kelowna, BC', '450 square feet', 'Listed over a week ago · Available now', 'Apartment', '1 bath', '450 square feet', 'AC available', 'Radiator heating', 'Laundry in building', 'Parking available', 'Kelowna, BC', 'Joined Facebook in 2008']",['Great location on Wilson and Ethel close to downtown. No pets. 16 unit low rise building. Available for February 1st. See less'],[],['https://www.facebook.com/marketplace/item/881243843217823/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-4748482374988137182%22%2C%22mf_story_key%22%3A%225837375129676289%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A5837375129676289%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A13%2C%5C%22ranking_signature%5C%22%3A832478203720237056%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0039318078247685%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%225837375129676289%5C%22%3A204%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D']
14,"['', '3 beds 1 bath House']","['$2,000 / Month']","['Kelowna, BC, V1X 2J5']","['525 Leathead Rd, Kelowna, BC', '1500 square feet', 'Listed over a week ago · Available now', 'House', '3 beds · 1 bath', '1500 square feet', 'AC available', 'Heating available', 'In-unit laundry', 'Parking available', 'Joined Facebook in 2006']","['Offering a discount on a bright and spacious 3 BR lower floor in a house for someone willing to help take care of the upper suite rentals, take care of the yard, and do ad hoc jobs around the house! Can be rented furnished or unfurnished. Rent includes all utilities. Willing to negotiate a monthly contract rate if you are able to clean between guests.\n\nMake this spacious, fully air-conditioned, furnished, centrally located lower floor in Kelowna (Rutland) your home! Available immediately!\n\nFeatures 3 bdr, 1 bath, shared garage, shared BBQ, shared large backyard. Private parking that can fit 7 cars, fully fenced backyard. 10 mins to UBC Okanagan, 15 mins to downtown, wineries & beaches! 30 mins to skiing! Move in ready - just bring your personal belongings!\n\nSpacious 1500 sqft lower private floor, tastefully furnished top to bottom to accommodate you. Great house for all your needs, great value for money, and very central.\n\nFeatures:\nFully enclosed backyard\nBBQ\nHUGE parking area\nlaundry rooms\nUltra quiet AC+heating Quad System\nIn floor heating\nSmart TV with cable\nHigh Speed Internet\n\nLower floor:\n- 3 bedrooms with a queen bed in each\n- contemporary decor in kitchen (electric range)\n- tasteful living area\n- laundry (washer/dryer)\n- full bath with bathtub\n\nComforts:\nQuality, comfortable new mattresses\nMattress protectors\nAll kitchen wear\n\nThe basement and upper suites have separate entrances. Contact this ad for more details! See less']",[],['https://www.facebook.com/marketplace/item/1465407060654609/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-4748482374988137182%22%2C%22mf_story_key%22%3A%225911090995618180%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A5911090995618180%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A14%2C%5C%22ranking_signature%5C%22%3A832478203720237056%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0039318073247685%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%225911090995618180%5C%22%3A204%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D']
15,"['', '1 Bed 1 Bath - House']","['$1,100 / Month']","['Kelowna, BC, V1Y 3V3']","['1366 Orchard Dr, Kelowna, BC', '600 square meters', 'Listed over a week ago · Available now', 'House', '1 bed · 1 bath', '600 square meters', 'AC available', 'Gas heating', 'Laundry available', 'Parking available', 'Unfurnished', '1 Year Lease', 'Joined Facebook in 2007']","[""Orchard Dr, Kelowna, BC V1Y, Canada\n1 bedroom 1 bathroom basement Suite available. shared laundry, separate entrance, parking available all utilities and high speed Wi-Fi included. No parties, no pets no smoking. Close to downtown close to bus stops it's ready for rent March1st.Contact me at [hidden information] or A[hidden information] See less""]","['Provided by Walk Score®︎', '34 out of 100', '41 out of 100', '81 out of 100', 'Provided by Walk Score®︎', 'Routes: 7 Glenmore', 'Routes: 10 North Rutland', 'Routes: 9 Shopper Shuttle']",['https://www.facebook.com/marketplace/item/221197889397507/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-4748482374988137182%22%2C%22mf_story_key%22%3A%223435865246543211%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A3435865246543211%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A15%2C%5C%22ranking_signature%5C%22%3A832478203720237056%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0039318068247685%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%223435865246543211%5C%22%3A204%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D']
16,"['', '1 Bed 1 Bath - House']",['$950 / Month'],"['Kelowna, BC, V1V 1W4']","['Applebrooke Cres, Kelowna, BC', 'Listed over a week ago · Available now', 'House', '1 bed · 1 bath', 'Central AC', 'Central heating', 'In-unit laundry', 'Off-street parking', 'Unfurnished', 'Balcony', 'Joined Facebook in 2008']","['One bedroom available for February 1st in shared house. Central location in Glenmore close to shopping and only a 5 minute drive to UBCO. Wifi, utilities, and off street parking are included in the rent. Will consider an animal, but will be on a case by case basis. Please no partying, or smoking. I will require a previous landlord reference and need to have a rental application filled out by any potential tenants. See less']",[],['https://www.facebook.com/marketplace/item/526009986132831/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-4748482374988137182%22%2C%22mf_story_key%22%3A%226512669665415486%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A6512669665415486%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A16%2C%5C%22ranking_signature%5C%22%3A832478203720237056%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0039318063247685%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%226512669665415486%5C%22%3A204%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D']
17,"['', 'Private Room For Rent']",['$750 / Month'],"['Kelowna, BC, V1Y 7V3']","['Dilworth Dr, Kelowna, BC', 'Listed 5 days ago', 'House', '1 bed · 1 bath', 'Unfurnished', '2 persons live here', 'Joined Facebook in 2007']","['Beautiful house, 1 bedroom available.  This ground floor suite is a shared accommodation.  Very central locations.  Close to downtown, Walmart and everything you need.\nlooking for another quiet room mate to share this space with.  No partying \nLots of parking on the road.  Driveway and garage are reserved for upper suite.  \nPlease write who you are and a little bit about yourself.  Only 1 person for the bedroom.  Look forward to meeting you.  \n\nThanks Miika See less']",[],['https://www.facebook.com/marketplace/item/1807705086271094/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-4748482374988137182%22%2C%22mf_story_key%22%3A%228660657613976106%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A8660657613976106%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A17%2C%5C%22ranking_signature%5C%22%3A832478203720237056%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0039318058247685%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%228660657613976106%5C%22%3A204%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D']
18,"['', '1 bed 1 bathroom – Flat']","['$1,450 / Month']","['Kelowna, BC, V1Y 6N7']","['Bernard Ave, Kelowna, BC', '800 square meters', 'Listed 4 days ago · Available now', 'Apartment', '1 bed · 1 bath', '800 square meters', 'Central AC', 'Unfurnished', '1+ Years Lease', 'Oven', 'Refrigerator', 'Joined Facebook in 2008']","[""Studio suite with loft bedroom. Looking for long term tenant (years) Rent includes power, gas, water, sewerage. Tenant responsible for telephone and internet access. Washer and dryer available after hours.Single parking spot available after hours. The unit is attached to an existing small business downtown Kelowna. Non smoker and not suitable for pets. If it's still listed then it is still available. See less""]",[],['https://www.facebook.com/marketplace/item/739635140722039/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-4748482374988137182%22%2C%22mf_story_key%22%3A%228726902707352096%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A8726902707352096%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A18%2C%5C%22ranking_signature%5C%22%3A832478203720237056%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0039318053247685%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%228726902707352096%5C%22%3A204%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D']
19,"['', 'Private Room For Rent']",['$800 / Month'],"['Kelowna, BC, V1X 7P3']","['539 Clayton Cres, Kelowna, BC', 'Listed 3 days ago · Available 2023/03/01', 'House', '1 bed · 1 bath', 'Central AC', 'Central heating', 'Laundry available', 'Parking available', 'Unfurnished', '1 month Lease', '3 persons live here', 'Joined Facebook in 2012']","['1 bedroom,1 bathroom  available in very clean and  beautiful home 🏡  we are looking for quite and  responsible person    🙏 for more details msg me  See less']",[],['https://www.facebook.com/marketplace/item/875453256850841/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-4748482374988137182%22%2C%22mf_story_key%22%3A%229033807546644263%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A9033807546644263%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A19%2C%5C%22ranking_signature%5C%22%3A832478203720237056%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0039318048247685%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%229033807546644263%5C%22%3A204%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D']
