,name,price,address,Type,nbeds,nbath,laundry,heating,parking,air_conditioner,furnished,animal_friendly,Area
20,3 beds 2 baths house,550,"kelowna, bc, v1x 1v1",House,3,2,in-unit laundry,central heating,parking available,Not specified,unfurnished,No pets,1200
21,studio 1 bath house,850,"kelowna, bc, v1y 6x9",House,1,1,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,450
22,2 beds 1 bath apartment,1600,"kelowna, bc, v1y 7m9",Apartment/Condo,2,1,in-unit laundry,central heating,parking available,central ac,unfurnished,No pets,932
23,1 bed 1 bath house,720,"kelowna, bc, v1y 3w1",House,1,1,laundry in building,electric heating,parking available,Not specified,unfurnished,No pets,250
24,1 bed 1 bath apartment,1400,"kelowna, bc, v1x 3j7",Apartment/Condo,1,1,in-unit laundry,electric heating,parking available,ac available,unfurnished,dog and cat friendly,932
25,studio for rent,1300,"kelowna, bc, v1x 2c6",Apartment/Condo,1,1,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,932
26,2 beds 2 baths apartment,2100,"kelowna, bc, v1y 6v9",Apartment/Condo,2,2,in-unit laundry,central heating,garage parking,central ac,unfurnished,dog and cat friendly,1000
27,1 bed 1 bath house,750,"kelowna, bc",House,1,1,laundry available,Not specified,parking available,Not specified,unfurnished,No pets,1200
28,1 bed 2 baths townhouse,675,"kelowna, bc, v1y 8m2",Townhouse,1,2,in-unit laundry,central heating,parking available,central ac,unfurnished,No pets,1371
29,house,600,"kelowna, bc",House,3,2,in-unit laundry,gas heating,parking available,central ac,unfurnished,No pets,1200
30,studio 1 bath apartment,1400,"kelowna, bc, v1y 0e5",Apartment/Condo,1,1,in-unit laundry,Not specified,parking available,ac available,Not specified,dog and cat friendly,932
31,1 bed 1 bath apartment,1850,"kelowna, bc, v1y",Apartment/Condo,1,1,in-unit laundry,heating available,parking available,ac available,Not specified,dog and cat friendly,600
32,2 beds 1 bath house,1795,"kelowna, bc, v1y 8c8",House,2,1,in-unit laundry,Not specified,parking available,Not specified,Not specified,dog and cat friendly,1200
33,3 beds 2 baths apartment,900,"kelowna, bc, v1v",Apartment/Condo,3,2,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,932
34,1 bed 1 bath house,700,"kelowna, bc, v1p 1n7",House,1,1,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,1200
35,1 bed 1 bath house,1450,"kelowna, bc",House,1,1,laundry available,central heating,street parking,central ac,unfurnished,No pets,650
36,3 beds 3 baths apartment,1234,"kelowna, bc, v1v 0c8",Apartment/Condo,3,3,in-unit laundry,Not specified,garage parking,Not specified,unfurnished,No pets,932
37,1 bed 1 bath house,1000,"kelowna, bc, v1y 4r9",House,1,1,Not specified,Not specified,Not specified,Not specified,Not specified,No pets,1200
38,private room for rent,650,"kelowna, bc, v1w 3x2",House,1,1,laundry available,central heating,parking available,ac available,unfurnished,No pets,1200
39,4 beds 2 baths house,2850,"kelowna, bc",House,4,2,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,1200
40,2 beds 1 bath house,1650,"kelowna, bc",House,2,1,Not specified,electric heating,street parking,Not specified,unfurnished,dog and cat friendly,800
41,1 bed 1 bath apartment,1550,"kelowna, bc, v1v 2z8",House,1,1,in-unit laundry,central heating,street parking,central ac,unfurnished,dog and cat friendly,600
42,1 bed 1 bath house,800,"kelowna, bc, v1v 2g6",House,1,1,laundry available,central heating,parking available,central ac,unfurnished,No pets,1200
43,3 beds 2 baths house,2300,"kelowna, bc, v1x",House,3,2,laundry available,Not specified,parking available,Not specified,unfurnished,cat friendly,1200
44,1 bedroom 1 bath legal basement suite,1375,"kelowna, bc, v1w 4n2",House,1,1,in-unit laundry,electric heating,street parking,central ac,unfurnished,No pets,450
45,5 beds 2 baths house,500,"kelowna, bc",House,5,2,laundry available,electric heating,parking available,ac available,unfurnished,dog and cat friendly,150
46,4 beds 2 baths house,3000,"kelowna, bc, v1y 6m2",House,4,2,in-unit laundry,gas heating,street parking,central ac,unfurnished,No pets,1200
47,1 bed 1 bath apartment,1200,"west kelowna, bc, v4t 2z5",Apartment/Condo,1,1,in-unit laundry,central heating,parking available,ac available,unfurnished,No pets,932
48,1 bed 1 bath apartment,1200,"peachland, bc, v0h 1x2",Apartment/Condo,1,1,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,600
49,1 bed 1 bath house,750,"kelowna, bc",House,1,1,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,1200
50,1 bed 1 bath house,1600,"kelowna, bc",House,1,1,Not specified,Not specified,Not specified,Not specified,unfurnished,dog and cat friendly,1200
51,1 bed 1 bath apartment,2100,"kelowna, bc, v1y 9z2",Apartment/Condo,1,1,in-unit laundry,central heating,parking available,central ac,unfurnished,No pets,932
52,2 beds 1 bath apartment,900,"kelowna, bc, v1y 5p3",Apartment/Condo,2,1,in-unit laundry,Not specified,street parking,ac available,unfurnished,No pets,932
53,2 beds 1 bath house,1800,"kelowna, bc, v1x 2v3",House,2,1,in-unit laundry,gas heating,Not specified,central ac,unfurnished,No pets,1200
54,3 beds 2 5 baths townhouse,1100,"kelowna, bc",Townhouse,3,2,in-unit laundry,central heating,parking available,central ac,Not specified,No pets,1371
55,2 beds 1 bath house,1800,"kelowna, bc",House,2,1,in-unit laundry,gas heating,parking available,ac available,Not specified,dog and cat friendly,1200
56,1 bed 1 bath apartment,1550,"kelowna, bc",Apartment/Condo,1,1,laundry in building,central heating,parking available,central ac,unfurnished,No pets,932
57,1 bed 1 bath apartment,1050,"kelowna, bc, v1y 6b8",Apartment/Condo,1,1,in-unit laundry,Not specified,garage parking,Not specified,Not specified,dog and cat friendly,932
58,2 beds 1 bath house,1750,"kelowna, bc, v1y 6k4",House,2,1,in-unit laundry,Not specified,street parking,Not specified,Not specified,No pets,1200
59,2 beds 1 bath house,2100,"kelowna, bc",House,2,1,in-unit laundry,central heating,parking available,central ac,Not specified,No pets,1200
60,2 beds 2 baths apartment,1800,"kelowna, bc, v1v 0b4",Apartment/Condo,2,2,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,932
61,1 bed 1 bath apartment,1175,"kelowna, bc, v1v 0e2",Apartment/Condo,1,1,in-unit laundry,electric heating,garage parking,central ac,unfurnished,No pets,890
62,1 bed 1 bath apartment,1450,"kelowna, bc, v1x 1m9",Apartment/Condo,1,1,laundry in building,Not specified,parking available,Not specified,Not specified,No pets,932
63,1 bed 1 bath for rent in carriage house,1150,"kelowna, bc, v1y 5g6",House,2,2,Not specified,Not specified,Not specified,Not specified,Not specified,No pets,1200
64,1 bed 1 bath house,1400,"kelowna, bc",House,1,1,laundry available,Not specified,street parking,Not specified,unfurnished,No pets,750
65,4 beds 3 baths house,2800,"kelowna, bc, v1v",House,4,3,laundry available,heating available,garage parking,ac available,Not specified,dog and cat friendly,1200
66,one bedroom basement,1200,"kelowna, bc",Room,1,1,Not specified,Not specified,Not specified,Not specified,Not specified,No pets,1100
67,1 bed 1 bath flat,2200,"kelowna, bc, v1y 9r3",Apartment/Condo,1,1,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,932
68,4 beds 2 baths house,3500,"kelowna, bc, v1x",House,4,2,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,1200
69,1 bed 1 bath townhouse,600,"kelowna, bc",Townhouse,1,1,laundry in building,Not specified,Not specified,Not specified,unfurnished,No pets,1371
70,1 bed 1 bath house,960,"kelowna, bc, v1y 8z4",House,1,1,in-unit laundry,central heating,parking available,central ac,Not specified,No pets,1200
71,1 bed 1 bath house,1200,"kelowna, bc, v1y",House,1,1,laundry available,central heating,parking available,central ac,Not specified,No pets,1200
72,3 beds 2 baths house,2750,"kelowna, bc",House,3,2,in-unit laundry,gas heating,garage parking,central ac,unfurnished,dog and cat friendly,1424
73,4 beds 3 baths house,3600,"kelowna, bc",House,4,3,in-unit laundry,gas heating,garage parking,central ac,unfurnished,dog and cat friendly,1200
74,studio 1 bath apartment,1850,"kelowna, bc",Apartment/Condo,1,1,in-unit laundry,heating available,Not specified,ac available,unfurnished,dog and cat friendly,932
75,room for rent in renovated home,800,"kelowna, bc",House,1,1,in-unit laundry,central heating,Not specified,Not specified,unfurnished,No pets,1200
76,room for rent,800,"kelowna, bc, v1y 8n1",Townhouse,1,1,laundry available,central heating,street parking,central ac,unfurnished,No pets,1371
77,private room for rent,1100,"kelowna, bc, v1y 0g9",Apartment/Condo,2,2,in-unit laundry,Not specified,Not specified,Not specified,unfurnished,dog friendly,932
78,2 beds 1 bath house,1850,"kelowna, bc",House,2,1,in-unit laundry,gas heating,parking available,central ac,unfurnished,dog and cat friendly,1200
79,1 bed 1 bath house,850,"kelowna, bc, v1w 2g3",House,1,1,laundry in building,electric heating,street parking,ac available,furnished,cat friendly,1200
80,2 beds 1 5 baths house,2000,"kelowna, bc, v1y 5h3",House,2,1,Not specified,Not specified,garage parking,Not specified,unfurnished,No pets,1200
81,2 beds 1 bath house,1200,"kelowna, bc, v1y 6m9",House,2,1,in-unit laundry,central heating,Not specified,central ac,unfurnished,No pets,1200
82,2 beds 1 bath apartment,1800,"kelowna, bc, v1v",Apartment/Condo,2,1,in-unit laundry,central heating,street parking,central ac,unfurnished,dog and cat friendly,800
83,1 bed 1 bath house,850,"kelowna, bc, v1y 3w2",House,1,1,in-unit laundry,central heating,street parking,central ac,Not specified,No pets,1100
84,like brand new 4 bed 2 bath,2900,"kelowna, bc, v1y 8s1",House,4,2,in-unit laundry,Not specified,parking available,Not specified,unfurnished,No pets,1200
85,1 bed 1 bath apartment,1600,"kelowna, bc",Room,1,1,in-unit laundry,central heating,street parking,central ac,unfurnished,No pets,1100
86,private room for rent,850,"kelowna, bc, v1y 9z2",Apartment/Condo,2,2,in-unit laundry,central heating,garage parking,central ac,furnished,No pets,932
87,1 bed 1 bath house,1000,"kelowna, bc, v1x 3e1",House,1,1,Not specified,Not specified,Not specified,Not specified,Not specified,No pets,1710
88,private room for rent,725,"kelowna, bc",House,1,1,laundry available,central heating,street parking,central ac,unfurnished,No pets,1200
89,2 beds 1 bath house,2200,"kelowna, bc, v1y 2z3",House,2,1,in-unit laundry,electric heating,street parking,ac available,unfurnished,dog and cat friendly,800
90,1 室1 卫 独立宅院,1300,"kelowna, bc, v1w 1t9",House,1,1,in-unit laundry,heating available,Not specified,ac available,unfurnished,No pets,1200
91,3 beds 3 baths townhouse,2700,"kelowna, bc, v1y 6v4",Townhouse,3,3,in-unit laundry,gas heating,parking available,central ac,unfurnished,dog and cat friendly,1140
92,3 beds 1 bath house,2600,"kelowna, bc, v1y 2t1",House,3,1,in-unit laundry,gas heating,parking available,Not specified,unfurnished,dog and cat friendly,1800
93,3 beds 1 bath house,2600,"kelowna, bc, v1x 2e5",House,3,1,in-unit laundry,electric heating,street parking,Not specified,Not specified,dog and cat friendly,1200
94,2 beds 1 bath apartment,1850,"kelowna, bc",House,2,1,in-unit laundry,central heating,street parking,central ac,unfurnished,No pets,1200
95,4 beds 4 baths townhouse,3425,"kelowna, bc",Townhouse,4,4,in-unit laundry,gas heating,garage parking,central ac,unfurnished,No pets,1650
96,2 beds 1 bath house,1700,"west kelowna, bc, v4t 3n3",House,2,1,in-unit laundry,electric heating,street parking,ac available,Not specified,No pets,1200
97,1 bed 1 bath room only,800,"kelowna, bc, v1y 6b9",House,1,1,laundry available,central heating,parking available,Not specified,unfurnished,No pets,1200
98,1 bed 1 bath house,850,"kelowna, bc, v1y 3w2",House,1,1,in-unit laundry,central heating,parking available,central ac,Not specified,dog and cat friendly,1100
99,1 bed 1 bath apartment,1500,"kelowna, bc",Apartment/Condo,1,1,in-unit laundry,Not specified,street parking,Not specified,unfurnished,No pets,900
100,1 bed 1 bath house,1300,"west kelowna, bc",House,1,1,in-unit laundry,electric heating,parking available,Not specified,unfurnished,No pets,1200
101,3 beds 2 baths house,2800,"kelowna, bc",House,3,2,laundry in building,gas heating,street parking,central ac,unfurnished,No pets,1200
102,2 beds 1 bath apartment,1050,"kelowna, bc, v1y 4v3",Apartment/Condo,2,1,Not specified,Not specified,Not specified,Not specified,Not specified,No pets,932
103,1 bed 1 bath house,1400,"kelowna, bc",House,1,1,in-unit laundry,Not specified,Not specified,Not specified,unfurnished,dog friendly,1200
104,3室3卫 租赁式公寓,900,"kelowna, bc, v1v 0a2",Apartment/Condo,3,3,in-unit laundry,central heating,parking available,ac available,unfurnished,No pets,932
105,1 or 2 bed 2 baths house,950,"kelowna, bc, v1y 8h7",House,1,2,laundry available,gas heating,parking available,central ac,unfurnished,No pets,1200
106,4 beds 2 baths house,2795,"kelowna, bc",House,4,2,in-unit laundry,gas heating,garage parking,central ac,unfurnished,No pets,1200
107,4 beds 3 baths house,3500,"kelowna, bc",House,4,3,in-unit laundry,gas heating,garage parking,central ac,unfurnished,No pets,1200
108,1 bed 1 bath house,1450,"west kelowna, bc",House,1,1,in-unit laundry,Not specified,street parking,Not specified,unfurnished,No pets,1200
109,5 beds 2 baths house,3275,"kelowna, bc",House,5,2,in-unit laundry,gas heating,street parking,Not specified,unfurnished,dog and cat friendly,1200
110,1 bed 1 bath house,700,"kelowna, bc, v1p 1n7",House,1,1,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,1200
111,2 beds 1 bath house,1800,"kelowna, bc",House,2,1,in-unit laundry,central heating,parking available,central ac,unfurnished,No pets,1200
112,4 beds 2 baths house,3175,"kelowna, bc",House,4,2,in-unit laundry,gas heating,garage parking,central ac,Not specified,dog and cat friendly,1950
113,1 bed 1 bath apartment,1000,"kelowna, bc, v1y 1r9",Apartment/Condo,1,1,in-unit laundry,Not specified,street parking,Not specified,Not specified,No pets,950
114,1 bed 1 bath house,1000,"kelowna, bc, v1x 4p5",House,1,1,Not specified,electric heating,street parking,central ac,Not specified,No pets,308
115,1 bed 1 bath apartment,1625,"kelowna, bc, v1y 0g5",Apartment/Condo,1,1,laundry in building,central heating,garage parking,central ac,unfurnished,No pets,932
116,1 bed 1 bath apartment,750,"kelowna, bc",Apartment/Condo,1,1,Not specified,gas heating,Not specified,central ac,Not specified,No pets,932
117,4 beds 2 baths house,3200,"kelowna, bc, v1x 2y7",House,4,2,in-unit laundry,gas heating,street parking,ac available,unfurnished,dog friendly,1770
118,2 beds 1 bath house,1675,"kelowna, bc",House,2,1,laundry available,electric heating,street parking,Not specified,unfurnished,dog and cat friendly,810
119,1 bed 1 bath apartment,1300,"kelowna, bc, v1y 9z4",Apartment/Condo,1,1,in-unit laundry,central heating,garage parking,ac available,Not specified,No pets,932
120,3 beds 1 bath house,2500,"kelowna, bc, v1y",House,3,1,laundry in building,Not specified,Not specified,Not specified,unfurnished,dog and cat friendly,1200
121,1 bed 1 bath apartment,1200,"kelowna, bc",Apartment/Condo,1,1,in-unit laundry,electric heating,garage parking,central ac,Not specified,No pets,1100
122,5 beds 2 baths house,600,"kelowna, bc, v1x 4g5",House,5,2,laundry available,Not specified,parking available,Not specified,Not specified,No pets,1200
123,3 beds 1 bath house,2500,"kelowna, bc, v1y 2j6",House,3,1,in-unit laundry,central heating,street parking,central ac,Not specified,No pets,6000
124,1 bed 1 bath apartment,1200,"vernon, bc, v1t 7p9",Apartment/Condo,1,1,laundry available,central heating,parking available,central ac,Not specified,No pets,932
125,4 beds 2 baths house,3400,"kelowna, bc, v1w 1b8",House,4,2,laundry available,central heating,parking available,Not specified,unfurnished,dog and cat friendly,1200
126,2 beds 2 baths apartment condo,1975,"west kelowna, bc",Apartment/Condo,2,2,in-unit laundry,Not specified,Not specified,Not specified,Not specified,No pets,932
127,1 bed 1 bath house,1045,"kelowna, bc, v1y 6x4",House,1,1,laundry in building,heating available,street parking,Not specified,unfurnished,dog and cat friendly,1200
128,1 bed 1 bath house,1100,"kelowna, bc, v1x 3e1",House,1,1,Not specified,Not specified,Not specified,Not specified,Not specified,No pets,1700
129,3 beds 3 baths townhouse,3300,"kelowna, bc, v1y 2t2",Townhouse,3,3,in-unit laundry,heating available,garage parking,central ac,unfurnished,dog and cat friendly,1371
130,2 beds 1 bath apartment,1215,"kelowna, bc, v1y 1z9",Apartment/Condo,2,1,in-unit laundry,gas heating,street parking,central ac,unfurnished,No pets,1000
131,2 beds 1 bath house,1100,"kelowna, bc",House,2,1,in-unit laundry,gas heating,street parking,central ac,unfurnished,No pets,1200
132,1 bed 1 bath apartment,1250,"kelowna, bc, v1w 3w5",Apartment/Condo,1,1,in-unit laundry,Not specified,garage parking,Not specified,unfurnished,No pets,932
133,1 bed 1 bath house,900,"kelowna, bc, v1y 6k2",House,1,1,laundry in building,gas heating,street parking,ac available,unfurnished,cat friendly,1200
134,daylight suite,1750,"kelowna, bc, v1x 5k7",House,2,1,Not specified,Not specified,Not specified,Not specified,Not specified,No pets,1200
135,4 beds 2 baths house,2980,"kelowna, bc",House,4,2,in-unit laundry,gas heating,street parking,Not specified,unfurnished,dog friendly,1400
136,1 bed 1 bath townhouse,845,"kelowna, bc",Townhouse,1,1,in-unit laundry,gas heating,garage parking,central ac,Not specified,No pets,1371
137,1 bed 1 bath house,1525,"kelowna, bc",House,1,1,laundry in building,gas heating,parking available,central ac,unfurnished,No pets,1200
138,2 beds 1 bath house,2600,"kelowna, bc",House,2,1,in-unit laundry,heating available,street parking,ac available,Not specified,dog and cat friendly,1200
139,3 beds 2 baths house,2600,"kelowna, bc, v1x 2s1",House,3,2,in-unit laundry,Not specified,Not specified,Not specified,unfurnished,No pets,1200
140,4 beds 2 baths house,3000,"kelowna, bc, v1x 1s6",House,4,2,in-unit laundry,gas heating,parking available,Not specified,Not specified,dog and cat friendly,2000
141,1 bed 1 bath house,1700,"kelowna, bc",House,1,1,in-unit laundry,Not specified,Not specified,Not specified,unfurnished,No pets,1200
142,1 bed 1 bath house,800,"kelowna, bc, v1x 3l5",House,1,1,laundry in building,central heating,street parking,central ac,unfurnished,No pets,1200
143,2 beds 2 5 baths townhouse,2700,"kelowna, bc, v1y 2v1",Townhouse,2,2,in-unit laundry,central heating,garage parking,central ac,unfurnished,dog and cat friendly,1371
144,2 beds 2 baths apartment,2200,"kelowna, bc, v1y 9t8",Apartment/Condo,2,2,in-unit laundry,electric heating,garage parking,ac available,Not specified,dog and cat friendly,1050
145,private room for rent,1300,"kelowna, bc, v1y",Apartment/Condo,1,1,in-unit laundry,Not specified,Not specified,central ac,furnished,No pets,932
146,1 bed 1 bath townhouse,1600,"kelowna, bc",Townhouse,1,1,laundry in building,central heating,street parking,central ac,unfurnished,No pets,1371
147,private room for rent,700,"kelowna, bc, v1x 3w3",House,5,2,Not specified,central heating,Not specified,central ac,unfurnished,No pets,1200
148,3 beds 3 bath apartment,2100,"central okanagan, bc, v1z 3t1",Apartment/Condo,3,3,in-unit laundry,heating available,parking available,ac available,unfurnished,No pets,932
149,3 beds 1 bath house,2300,"kelowna, bc, v1x",House,3,1,Not specified,Not specified,Not specified,Not specified,unfurnished,dog and cat friendly,1200
150,1 bed 1 bath apartment,1800,"west kelowna, bc, v4t 2z9",Apartment/Condo,2,1,in-unit laundry,gas heating,parking available,ac available,unfurnished,dog and cat friendly,932
151,fully furnished  2 bed 1 den  1 bath,2000,"kelowna, bc",House,3,1,in-unit laundry,central heating,parking available,central ac,unfurnished,No pets,900
152,3 beds 3 baths townhouse,2500,"west kelowna, bc, v4t 0a4",Townhouse,3,3,in-unit laundry,heating available,parking available,ac available,Not specified,No pets,1177
153,1 bed 1 bath house,1300,"kelowna, bc",House,1,1,in-unit laundry,central heating,street parking,central ac,unfurnished,No pets,1200
154,1 bed 1 bath house,1045,"kelowna, bc",House,1,1,laundry available,heating available,parking available,Not specified,unfurnished,No pets,1200
155,1 bed 1 bath house,900,"kelowna, bc, v1y 3w2",House,1,1,in-unit laundry,central heating,street parking,central ac,unfurnished,No pets,750
156,4 beds 5 baths house,4350,"kelowna, bc",House,4,5,in-unit laundry,gas heating,garage parking,central ac,unfurnished,dog friendly,1200
157,private room for rent,1000,"kelowna, bc",House,1,1,laundry available,heating available,parking available,ac available,furnished,No pets,1200
158,2 beds 2 baths apartment for rent,2250,"kelowna, bc, v1v 2v1",Apartment/Condo,3,2,in-unit laundry,gas heating,garage parking,ac available,unfurnished,No pets,998
159,3 beds 1 5 bath house,2400,"kelowna, bc",House,3,1,in-unit laundry,gas heating,street parking,Not specified,unfurnished,No pets,1000
160,fully renovated 3 bedroom basement suite,2400,"kelowna, bc, v1x 3g2",House,3,1,laundry available,central heating,parking available,central ac,unfurnished,No pets,900
161,1 bed 1 bathroom house,550,"kelowna, bc",House,1,1,in-unit laundry,central heating,parking available,central ac,unfurnished,No pets,1200
162,3 beds 3 baths house,3300,"kelowna, bc",House,3,3,in-unit laundry,gas heating,garage parking,central ac,Not specified,No pets,2000
163,2 bed 2 bath,2000,"kelowna, bc, v1v 0e3",Apartment/Condo,2,2,in-unit laundry,electric heating,garage parking,ac available,unfurnished,No pets,932
164,2 beds 1 bath house,1650,"lake country, bc, v4v 2r2",House,2,1,in-unit laundry,electric heating,Not specified,central ac,unfurnished,No pets,1200
165,1 bed 1 bath house,1500,"kelowna, bc, v1v 2n1",House,1,1,Not specified,heating available,street parking,ac available,unfurnished,cat friendly,600
166,2 beds 2 baths apartment,2300,"kelowna, bc",Apartment/Condo,2,2,in-unit laundry,central heating,parking available,central ac,unfurnished,No pets,932
167,2 beds 1 bath house,2200,"kelowna, bc",House,2,1,in-unit laundry,central heating,parking available,central ac,unfurnished,dog and cat friendly,1050
168,4 beds 2 baths house,3500,"west kelowna, bc",House,4,2,Not specified,gas heating,garage parking,central ac,unfurnished,No pets,1200
169,3 beds 3 5 baths townhouse,3300,"kelowna, bc",Townhouse,3,3,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,1371
170,1 bed 1 bath house,850,"kelowna, bc",House,1,1,laundry in building,central heating,parking available,central ac,Not specified,dog friendly,3500
171,3 beds 1 bath house,2595,"kelowna, bc, v1y 6r6",House,3,1,laundry available,central heating,garage parking,ac available,unfurnished,dog and cat friendly,1250
172,1 bed 1 bath house,1500,"kelowna, bc",House,1,1,in-unit laundry,heating available,street parking,ac available,unfurnished,cat friendly,700
173,3 beds 2 baths house,2795,"kelowna, bc",House,3,2,in-unit laundry,heating available,parking available,Not specified,Not specified,dog and cat friendly,1200
174,1 bed 1 bath townhouse,1200,"kelowna, bc, v1v",Townhouse,1,1,Not specified,Not specified,Not specified,Not specified,Not specified,No pets,1371
175,3 beds 2 baths house,2600,"kelowna, bc",House,3,2,in-unit laundry,gas heating,parking available,central ac,unfurnished,No pets,1200
176,3 beds 2 baths house,3350,"kelowna, bc, v1y 4a2",House,3,2,in-unit laundry,Not specified,parking available,Not specified,unfurnished,No pets,1200
177,1 bed 1 bath apartment,900,"kelowna, bc, v1y 5y3",Apartment/Condo,1,1,laundry in building,heating available,parking available,ac available,unfurnished,No pets,932
178,2 beds 1 bath house,1500,"penticton, bc, v2a 8j2",House,2,1,laundry in building,central heating,parking available,central ac,Not specified,No pets,1200
179,2 beds 1 bath house,1800,"kelowna, bc",House,2,1,laundry available,Not specified,parking available,Not specified,unfurnished,No pets,1200
180,3 beds 3 baths townhouse,3000,"kelowna, bc, v1y 6v9",Townhouse,3,3,in-unit laundry,central heating,garage parking,central ac,Not specified,No pets,1228
181,1 bed 1 bath house,850,"kelowna, bc",House,1,1,in-unit laundry,Not specified,parking available,Not specified,unfurnished,No pets,1200
182,2 beds 1 bath house,1600,"vernon, bc",House,2,1,Not specified,central heating,Not specified,central ac,unfurnished,dog and cat friendly,1000
183,3 beds 2 baths house,3000,"kelowna, bc, v1w",House,3,2,in-unit laundry,central heating,parking available,central ac,unfurnished,No pets,3100
184,1 bed 1 5 baths house,1500,"kelowna, bc, v1y 6x9",House,1,1,in-unit laundry,heating available,parking available,ac available,Not specified,dog and cat friendly,1200
185,2 beds 1 bath house,1800,"kelowna, bc",House,2,1,in-unit laundry,gas heating,garage parking,central ac,unfurnished,No pets,1200
186,2 beds 1 bath house,1800,"kelowna, bc, v1x 2j3",House,2,1,Not specified,electric heating,parking available,Not specified,unfurnished,dog and cat friendly,1200
187,1 bed 1 bath house,850,"kelowna, bc",House,1,1,in-unit laundry,central heating,street parking,central ac,Not specified,dog and cat friendly,1650
188,2 beds 2 baths apartment,2950,"kelowna, bc, v1y 9y9",Apartment/Condo,2,2,in-unit laundry,electric heating,garage parking,central ac,unfurnished,No pets,932
189,3 beds 2 baths house,3000,"kelowna, bc, v1x 5m1",House,3,2,laundry available,central heating,garage parking,central ac,unfurnished,No pets,1200
190,studio 1 bath apartment,1900,"kelowna, bc, v1y 9z2",Apartment/Condo,1,1,in-unit laundry,central heating,parking available,central ac,Not specified,dog and cat friendly,500
191,2 beds 1 bath house,2150,"west kelowna, bc, v4t 2m8",House,2,1,in-unit laundry,Not specified,street parking,Not specified,unfurnished,No pets,1200
192,1 bed 1 bath house,850,"kelowna, bc, v1y",House,1,1,in-unit laundry,central heating,parking available,Not specified,Not specified,No pets,1200
